    name                                              pcs
2 pin Screw Terminal Block Connectors                  3
12v water pump                                         1
lm358 ic                                               1
8 pin ic socket                                        1
1n4007 diode                                           1
10k through hole resistor                              1
1k through hole resistor                               1
irfz44n mosfet                                         1
10k potentiometar                                      1
Thermal Insulator Pad Sheet   (for mosfet)             1
heatsink (for mosfet)                                  1
